Order ID,Order Date,Ship Date,Ship Mode,Customer ID,City,State,Postal Code,Region
CA-2017-152156,08/11/2017,11/11/2017,Second Class,CG-12520,Henderson,Kentucky,42420.0,South
CA-2017-138688,12/06/2017,16/06/2017,Second Class,DV-13045,Los Angeles,California,90036.0,West
US-2016-108966,11/10/2016,18/10/2016,Standard Class,SO-20335,Fort Lauderdale,Florida,33311.0,South
CA-2015-115812,09/06/2015,14/06/2015,Standard Class,BH-11710,Los Angeles,California,90032.0,West
CA-2018-114412,15/04/2018,20/04/2018,Standard Class,AA-10480,Concord,North Carolina,28027.0,South
CA-2017-161389,05/12/2017,10/12/2017,Standard Class,IM-15070,Seattle,Washington,98103.0,West
US-2016-118983,22/11/2016,26/11/2016,Standard Class,HP-14815,Fort Worth,Texas,76106.0,Central
CA-2015-105893,11/11/2015,18/11/2015,Standard Class,PK-19075,Madison,Wisconsin,53711.0,Central
CA-2015-167164,13/05/2015,15/05/2015,Second Class,AG-10270,West Jordan,Utah,84084.0,West
CA-2015-143336,27/08/2015,01/09/2015,Second Class,ZD-21925,San Francisco,California,94109.0,West
CA-2017-137330,09/12/2017,13/12/2017,Standard Class,KB-16585,Fremont,Nebraska,68025.0,Central
US-2018-156909,16/07/2018,18/07/2018,Second Class,SF-20065,Philadelphia,Pennsylvania,19140.0,East
CA-2016-106320,25/09/2016,30/09/2016,Standard Class,EB-13870,Orem,Utah,84057.0,West
CA-2017-121755,16/01/2017,20/01/2017,Second Class,EH-13945,Los Angeles,California,90049.0,West
US-2016-150630,17/09/2016,21/09/2016,Standard Class,TB-21520,Philadelphia,Pennsylvania,19140.0,East
CA-2018-107727,19/10/2018,23/10/2018,Second Class,MA-17560,Houston,Texas,77095.0,Central
CA-2017-117590,08/12/2017,10/12/2017,First Class,GH-14485,Richardson,Texas,75080.0,Central
CA-2016-117415,27/12/2016,31/12/2016,Standard Class,SN-20710,Houston,Texas,77041.0,Central
CA-2018-120999,10/09/2018,15/09/2018,Standard Class,LC-16930,Naperville,Illinois,60540.0,Central
CA-2017-101343,17/07/2017,22/07/2017,Standard Class,RA-19885,Los Angeles,California,90049.0,West
